source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES
Kiwi Carpet,1,150.86870404814525,-24.65961461555189,positive,,,,,
,0,116.887,-29.032600000000077,other_deposit,,Feinberg and Cross Ochre (59),mineral deposit,WA,Ochre
,0,134.07976904682323,-25.22079483318673,blank_area,GA.GeologicProvince.364772,,,,
,0,140.3951,-34.32039999999998,other_deposit,,BELDORA,DEPOSIT,SA,Sand - undifferentiated
Mt. Leslie,1,140.18022183541268,-20.369789636884853,positive,,,,,
Yiddah,1,147.3341607626796,-34.0500744302669,positive,,,,,
Mount Darcy,1,143.25417591397525,-18.240966361754552,positive,,,,,
,0,146.0501,-41.18070000000005,other_deposit,,DDH DR10,deposit,TAS,Tin
,0,137.40225930545276,-20.06271621505416,blank_area,GA.GeologicProvince.468269,,,,
,0,116.14839999999998,-31.5046,other_deposit,,Area 4 - Julimar,mineral deposit,WA,"Alumina, Unspecified/Unknown, Bauxite"
,0,121.7248,-33.37009999999999,other_deposit,,Scaddan Gypsum / Megatta,mineral deposit,WA,Gypsum
,0,114.90080000000002,-28.891800000000003,other_deposit,,Shorts North - Nangetty-Walkaway Rd Lot 1 Ellendale/Patience,mineral deposit,WA,Sand - construction
,0,145.514896531094,-20.69821549816505,blank_area,GA.GeologicProvince.559189,,,,
Greenvale Project (Cockie Creek deposit),1,144.7556155281832,-19.077908641957183,positive,,,,,
,0,127.01120451227892,-16.730310291088493,blank_area,GA.GeologicProvince.468269,,,,
,0,135.2693561125619,-25.812131515485454,blank_area,GA.GeologicProvince.529551,,,,
Gemini,1,148.0467474832026,-33.37713075202089,positive,,,,,
Thursdays Gossan-Junction Reef (Victor 1 and Victor 2),1,142.6207790500703,-37.60363157019417,positive,,,,,
,0,141.79669495899591,-27.261096141560568,blank_area,GA.GeologicProvince.529551,,,,
,0,130.07990300643857,-23.93346945741296,blank_area,GA.GeologicProvince.364772,,,,
,0,118.4179,-31.16399999999999,other_deposit,,Lake Campion,mineral deposit,WA,Gypsum
,0,132.46178551521976,-28.795679360615885,blank_area,GA.GeologicProvince.529302,,,,
,0,117.4565,-30.8434,other_deposit,,Koorda SW (70),mineral deposit,WA,Gypsum
Barrabas Creek,1,146.78439062684953,-20.1044110831142,positive,,,,,
,0,134.44384766688756,-22.454113155958336,blank_area,GA.GeologicProvince.467256,,,,
Bodangora,1,149.0345393586408,-32.464655831296575,positive,,,,,
GRP314,1,148.08613835655632,-32.93266224160341,positive,,,,,
,0,143.6664,-36.21000000000005,other_deposit,,Woolshed Swamp,mineral deposit,VIC,"Ilmenite, Leucoxene, Monazite, Rutile, Xenotime, Zircon"
Coalstoun,1,151.86396101749526,-25.59128548256652,positive,,,,,
,0,150.0474,-26.259600000000045,other_deposit,,JUANDAH CREEK,OPERATING MINE,QLD,Sand - undifferentiated
,0,140.132,-34.85960000000004,other_deposit,,HALIDON,deposit,SA,Heavy minerals
Cargo,1,148.7887860108328,-33.42790468422177,positive,,,,,
,0,128.71429603487093,-27.358157804127828,blank_area,GA.GeologicProvince.22115,,,,
,0,141.71909576004825,-27.59791696063474,blank_area,GA.GeologicProvince.529302,,,,
,0,143.1397721901571,-27.42939281526376,blank_area,GA.GeologicProvince.20489,,,,
,0,139.8123922029359,-23.426298199992797,blank_area,GA.GeologicProvince.559196,,,,
,0,127.2865626609052,-24.573728063135142,blank_area,GA.GeologicProvince.466901,,,,
,0,123.87147971935326,-25.51232983238672,blank_area,GA.GeologicProvince.468269,,,,
Copper Hills,1,119.96482895169508,-21.6824734952909,positive,,,,,
,0,144.68837883190037,-34.028625272064744,blank_area,GA.GeologicProvince.530359,,,,
,0,115.74750000000002,-33.24549999999998,other_deposit,,Stanley Road Lot 335 Wellesley / Carbone,mineral deposit,WA,Sand - undifferentiated
,0,122.50284822542363,-22.0868398561966,blank_area,GA.GeologicProvince.468269,,,,
,0,145.454,-42.33479999999997,other_deposit,,Unnamed,deposit,TAS,Coal - brown
,0,140.2329,-31.958700000000004,other_deposit,,BIG BIMBA,MINE,SA,"Feldspar, Beryllium"
,0,143.82448579887938,-19.163287503076525,blank_area,GA.GeologicProvince.20437,,,,
,0,139.831683345169,-28.664157482857025,blank_area,GA.GeologicProvince.20489,,,,
,0,120.1582,-23.38220000000001,other_deposit,,Wheelarra 6,Mine - Openpit,WA,Iron
,0,123.6319,-17.706299999999928,other_deposit,,Fitzroy River Sand 1 / Holcim,Mine - Openpit,WA,Sand - undifferentiated
,0,121.1788,-30.153500000000022,other_deposit,,Big Four - KNP,mineral deposit,WA,"Scandium, Nickel, Cobalt, Manganese"
Endeavour E-31N,1,148.0643842649065,-32.932207150080885,positive,,,,,
,0,146.31784303278258,-22.91437266935328,blank_area,GA.GeologicProvince.559189,,,,
Greenvale Project (Cockie Creek deposit),1,144.76415838237114,-19.08510583893861,positive,,,,,
Mag H1,1,147.44688852372622,-34.3153356051974,positive,,,,,
,0,130.84014364881023,-23.47191888148673,blank_area,GA.GeologicProvince.364772,,,,
Sunday Creek,1,148.48897273258217,-37.52373932802181,positive,,,,,
,0,137.7501,-32.329799999999985,other_deposit,,ARNOLD BANK,MINE,SA,Gypsum
,0,140.8649771547654,-26.07139623118523,blank_area,GA.GeologicProvince.529551,,,,
,0,136.0451169207194,-26.16445522867321,blank_area,GA.GeologicProvince.529801,,,,
,0,115.9217,-34.22009999999998,other_deposit,,BFM1099,mineral deposit,WA,Graphite
Barrabas Creek,1,146.78618154047462,-20.110780917758643,positive,,,,,
Endeavour 43 (E43),1,147.5213107332719,-33.73594497462645,positive,,,,,
,0,115.211,-22.42499999999998,other_deposit,,North Wing - Manyingee East,mineral deposit,WA,"Uranium oxide, Uranium"
,0,128.15449140722637,-26.31353198511976,blank_area,GA.GeologicProvince.467262,,,,
,0,145.52704544565808,-20.84751571815561,blank_area,GA.GeologicProvince.20489,,,,
Calliope,1,151.26424507143415,-24.009887178143533,positive,,,,,
,0,132.47456310493885,-25.284678323704306,blank_area,GA.GeologicProvince.467256,,,,
Mount Cannindah,1,151.2540926394479,-24.65773838070182,positive,,,,,
,0,140.9746081587492,-27.717484093320277,blank_area,GA.GeologicProvince.529511,,,,
Mount Turner,1,143.38079535726155,-18.239597877337147,positive,,,,,
,0,129.60767370277534,-24.601995332284023,blank_area,GA.GeologicProvince.467262,,,,
Endeavour E-28,1,148.04792950316448,-32.9499061339624,positive,,,,,
,0,122.23053779887069,-27.512611816192173,blank_area,GA.GeologicProvince.576271,,,,
,0,145.74616707666615,-26.60030986281521,blank_area,GA.GeologicProvince.22077,,,,
,0,119.0381,-22.53380000000002,other_deposit,,Gudai-Darri K58,mineral deposit,WA,Iron
Chicane,1,147.4053497644247,-34.22619467961108,positive,,,,,
,0,114.93550000000002,-29.289799999999964,other_deposit,,Denison Limesand / Cockburn,mineral deposit,WA,"Unspecified/Unknown, Limesand"
Boddington,1,116.35896609411614,-32.746825907340266,positive,,,,,
,0,131.58475682130793,-19.873106831062906,blank_area,GA.GeologicProvince.364771,,,,
Bodangora,1,148.99436956025545,-32.45363594531748,positive,,,,,
,0,127.23317524944702,-15.151963257492405,blank_area,GA.GeologicProvince.468269,,,,
,0,115.7521,-33.471700000000006,other_deposit,,Yoganup North - Remnant Strand 90/130,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Leucoxene, Monazite"
Beaks Mountain,1,147.63432781688593,-19.99413265542663,positive,,,,,
,0,119.734,-32.60839999999995,other_deposit,,Cosmic Boy Gravel Pit 3,mineral deposit,WA,Gravel
,0,134.0287,-30.606299999999965,other_deposit,,WARRIOR,DEPOSIT,SA,"Uranium, Uranium oxide"
Hopetoun,1,147.99646958596077,-32.992625453367374,positive,,,,,
,0,136.56541911616273,-25.349708563409276,blank_area,GA.GeologicProvince.576197,,,,
Bowen Park,1,148.82544725684988,-33.36409073844264,positive,,,,,
,0,138.367,-30.60140000000004,other_deposit,,AROONA,MINE,SA,"Zinc, Lead"
,0,142.3092,-36.6369,other_deposit,,Avon Bank,mineral deposit,VIC,"Ilmenite, Leucoxene, Monazite, Rutile, Xenotime, Zircon"
,0,124.01713434226647,-22.51693708183977,blank_area,GA.GeologicProvince.466901,,,,
,0,134.9832398129295,-25.940781402999303,blank_area,GA.GeologicProvince.529549,,,,
,0,129.34441865459954,-23.654290240757163,blank_area,GA.GeologicProvince.22078,,,,
,0,138.5707,-32.825000000000024,other_deposit,,PEKINA NORTH,MINE,SA,"Iron ore, Phosphate"
Greens Creek,1,147.50554552978397,-34.31940725439566,positive,,,,,
,0,120.94761655439844,-20.26394985828625,blank_area,GA.GeologicProvince.466206,,,,
Gooleys,1,149.11586070840204,-33.5282801460285,positive,,,,,
,0,134.0417656661536,-20.925940323776828,blank_area,GA.GeologicProvince.468269,,,,
,0,127.5546556843669,-23.657093575093207,blank_area,GA.GeologicProvince.466901,,,,
,0,137.6463,-32.22099999999994,other_deposit,,MONUMENT HILL,deposit,SA,"Sand - undifferentiated, Clay"
,0,146.19213376280103,-33.10345308174302,blank_area,GA.GeologicProvince.559178,,,,
,0,138.75195169582975,-19.98767432030276,blank_area,GA.GeologicProvince.559201,,,,
