source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES
,0,135.20855686603292,-21.996722348378995,blank_area,GA.GeologicProvince.468041,,,,
,0,133.60026113901452,-24.532027013716814,blank_area,GA.GeologicProvince.466901,,,,
,0,129.8568302010621,-24.288581096295207,blank_area,GA.GeologicProvince.22078,,,,
,0,143.4823616047557,-24.552435002206337,blank_area,GA.GeologicProvince.20489,,,,
Bank,1,146.7381250773628,-20.13818016502595,positive,,,,,
,0,138.0087,-34.18000000000001,other_deposit,,YARAROO,MINE,SA,Phosphate
,0,135.44318354281944,-25.10452576610604,blank_area,GA.GeologicProvince.467262,,,,
,0,141.9137988230811,-26.645606298264223,blank_area,GA.GeologicProvince.529551,,,,
,0,133.04473211577042,-18.88200612164821,blank_area,GA.GeologicProvince.22109,,,,
,0,113.7618,-24.36759999999998,other_deposit,,Lake MacLeod East,mineral deposit,WA,Gypsum
,0,152.6996,-25.278499999999983,other_deposit,,FRASER COAST SAND AND GRAVEL,OPERATING MINE,QLD,Sand - undifferentiated
,0,147.19413101573386,-42.97850938531595,blank_area,GA.GeologicProvince.20345,,,,
,0,152.721,-27.834800000000005,other_deposit,,MORETON DOLOMITE,OPERATING MINE,QLD,"Agricultural Lime, Clay - brick"
,0,135.51596235933823,-22.365255251342525,blank_area,GA.GeologicProvince.468041,,,,
,0,137.80334616534176,-27.41130454603412,blank_area,GA.GeologicProvince.20489,,,,
,0,128.2970045523627,-25.91782392927907,blank_area,GA.GeologicProvince.466901,,,,
,0,144.8329,-17.3629,other_deposit,,ROGINA NO.2,OPERATING MINE,QLD,"Aggregate - undifferentiated, Sandstone, Stone - building stone"
,0,115.7274,-22.70749999999998,other_deposit,,Nanutarra Red Marble,mineral deposit,WA,"Marble, Dimension stone"
Yeoval,1,148.6419054733622,-32.72215249216677,positive,,,,,
,0,119.9546,-26.791799999999974,other_deposit,,Joyners Find - JWD,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron"
,0,141.97710558817056,-29.11021478442439,blank_area,GA.GeologicProvince.529302,,,,
,0,136.3962,-33.7745,other_deposit,,MOUNT PRISCILLA,DEPOSIT,SA,Sandstone
,0,128.50187366519094,-21.68269484042252,blank_area,GA.GeologicProvince.467255,,,,
,0,129.69019657549023,-15.307771703040856,blank_area,GA.GeologicProvince.467103,,,,
,0,143.9727469401105,-19.24550978542993,blank_area,GA.GeologicProvince.20437,,,,
Endeavour 43 (E43),1,147.5213107332719,-33.73594497462645,positive,,,,,
,0,144.6418,-17.43499999999999,other_deposit,,OOTANN,OPERATING MINE,QLD,"Limestone, Agricultural Lime, Aggregate - undifferentiated, Road metal"
Endeavour 43 (E43),1,147.51717313768918,-33.72473884621706,positive,,,,,
,0,116.4396,-22.562600000000057,other_deposit,,Wyloo North,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Titanium dioxide, Alumina, Iron"
,0,145.454,-42.33479999999997,other_deposit,,Unnamed,deposit,TAS,Coal - brown
,0,125.47025906372048,-28.589172672444448,blank_area,GA.GeologicProvince.22115,,,,
,0,153.0216,-27.982399999999977,other_deposit,,BIRNAM RANGE,OPERATING MINE,QLD,Unspecified/Unknown
,0,123.768545777727,-24.03529802390848,blank_area,GA.GeologicProvince.466191,,,,
Mount Abbot,1,147.94720779613385,-20.1973350445301,positive,,,,,
Cullingarai,1,147.4022753279973,-34.17810154919585,positive,,,,,
,0,133.42946276466174,-20.1125673593347,blank_area,GA.GeologicProvince.22109,,,,
,0,145.824,-41.22059999999999,other_deposit,,Kingsclere ,deposit,TAS,Magnetite
,0,148.97010747086728,-25.5242834369933,blank_area,GA.GeologicProvince.449962,,,,
,0,147.50572163257362,-21.52231270195408,blank_area,GA.GeologicProvince.20489,,,,
,0,129.1189,-26.177500000000013,other_deposit,,PIPALYATJARA CREEK,deposit,SA,Calcite
,0,138.8281,-30.54259999999998,other_deposit,,MOUNT SERLE NO.7,DEPOSIT,SA,Barite
Bodangora,1,148.9607496663008,-32.46941495250684,positive,,,,,
Limonite Hill,1,150.63462571018624,-23.67017719867332,positive,,,,,
,0,116.623,-22.450399999999963,other_deposit,,Elevation,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron"
,0,138.2635,-32.888600000000004,other_deposit,,PURPLE HILLS,MINE,SA,Quartz - amethyst
Titov,1,146.69197621951557,-19.99395299677808,positive,,,,,
,0,145.9231,-41.31540000000003,other_deposit,,Pilbeam Road,deposit,TAS,Unspecified/Unknown
,0,140.132,-34.85960000000004,other_deposit,,HALIDON,deposit,SA,Heavy minerals
,0,141.94099203703962,-20.772302331851886,blank_area,GA.GeologicProvince.529302,,,,
,0,133.57801129773776,-17.004814840365615,blank_area,GA.GeologicProvince.529556,,,,
,0,149.3545,-26.674199999999978,other_deposit,,YULEBA,OPERATING MINE,QLD,Silica sand
